	not_found	CID
1597	neisseria meningitidis group b nhba fusion protein antigen	146172593
1598	human papillomavirus type 16 l1 capsid protein antigen	146172594
1599	allergenic extract- wasp	146172595
1600	efmoroctocog alfa	146172596
1601	ofatumumab	146172597
1602	populus tremuloides pollen	146172598
1603	serine/threonine-protein kinase 19	146172599
1604	dalbavancin hydrochloride	146172600
1605	helminthosporium solani	146172601
1606	allogenic stem cell	146172602
1607	polypeptides	146172603
1608	eptinezumab-jjmr	146172604
1609	voretigene neparvovec-rzyl	146172605
1610	alglucosidase alfa	146172606
1611	lanabecestat	146172607
1612	prostate	146172608
1613	imalumab	146172609
1614	spearmint	146172610
1615	dextromethorphan	146172611
1616	tesidolumab	146172612
1617	subtilisin bpn^	146172613
1618	dornase alfa	146172614
1619	bemiparin sodium	146172615
1620	gentiana lutea root	146172616
1621	ferric hydroxide	146172617
1622	curvularia inaequalis	146172618
1623	tribulus terrestris root	146172619
1624	budigalimab	146172620
1625	erenumab-aooe	146172621
1626	aspergillus niger var. niger	146172622
1627	tilsotolimod	146172623
1628	mirimostim	146172624
1629	muromonab-cd3	146172625
1630	fumaric acid	146172626
1631	olive oil	146172627
1632	taxodium distichum pollen	146172628
1633	 icosapent	146172629
1634	clematis vitalba flower	146172630
1635	iron pentacarbonyl	146172631
1636	neurospora intermedia	146172632
1637	american ginseng	146172633
1638	black widow spider (latrodectus mactans) immune globulin antivenin (equine)	146172634
1639	dendryphiella vinosa	146172635
1640	mucor circinelloides f. lusitanicus	146172636
1641	pimitespib	146172637
1642	myrrh	146172638
1643	neisseria meningitidis serogroup b recombinant lp2086 a05 protein variant antigen	146172639
1644	rotavirus vaccine, live, oral, tetravalent	146172640
1645	garcinia cambogia fruit	146172641
1646	trastuzumab and hyaluronidase-oysk	146172642
1647	senna alexandrina whole	146172643
1648	fludarabine	146172644
1649	tea leaf	146172645
1650	rabies virus strain flury lep antigen (propiolactone inactivated)	146172646
1651	alirocumab	146172647
1652	thuja occidentalis leafy twig	146172648
1653	human clostridium tetani toxoid immune globulin	146172649
1654	gemtuzumab ozogamicin	146172650
1655	blinatumomab	146172651
1656	amaranthus palmeri pollen	146172652
1657	rindopepimut	146172653
1658	hedera helix leaf	146172654
1659	human vaccinia virus immune globulin	146172655
1660	cantaloupe	146172656
1661	botrytis cinerea	146172657
1662	botulinum toxin type a	146172658
1663	aconitum napellus	146172659
1664	brolucizumab-dbll	146172660
1665	influenza a virus a/california/7/2009 x-179a (h1n1) antigen (uv, formaldehyde inactivated)	146172661
1666	olmesartan medoxomil	146172662
1667	ephedra	146172663
1668	human papillomavirus type 31 l1 capsid protein antigen	146172664
1669	quercus alba pollen	146172665
1670	magnesium	146172666
1671	allergenic extract- mite	146172667
1672	morus alba pollen	146172668
1673	domagrozumab	146172669
1674	fennel seed	146172670
1675	placebo	146172671
1676	dacetuzumab	146172672
1677	sodium magnesium silicate	146172673
1678	efalizumab	146172674
1679	human papillomavirus type 33 l1 capsid protein antigen	146172675
1680	influenza a virus a/michigan/45/2015 (h1n1) recombinant hemagglutinin antigen	146172676
1681	neisseria meningitidis	146172677
1682	plasminogen	146172678
1683	human rotavirus a type g4p7(5) strain brb live antigen	146172679
1684	sanguinari	146172680
1685	allergenic extract- weeds	146172681
1686	trastuzumab duocarmazine	146172682
1687	protamine sulfate	146172683
1688	dendranthema indicum flower	146172684
1689	interferon gamma-1a	146172685
1690	polymethacrylate	146172686
1691	egg phospholipids	146172687
1692	palifermin	146172688
1693	rilimogene galvacirepvec	146172689
1694	diastase	146172690
1695	enoblituzumab	146172691
1696	karaya gum	146172692
1697	trolamine polypeptide oleate condensate	146172693
1698	acetaminophen and	146172694
1699	aspergillus niger .alpha.-galactosidase	146172695
1700	influenza a virus a/hong kong/4801/2014 (h3n2) recombinant hemagglutinin antigen	146172696
1701	poliovirus type 3 antigen (formaldehyde inactivated)	146172697
1702	tribulus terrestris	146172698
1703	tavolixizumab	146172699
1704	rumex acetosella whole	146172700
1705	lacnotuzumab	146172701
1706	hepatitis b virus subtype adw2 hbsag surface protein antigen	146172702
1707	amaranthus retroflexus pollen	146172703
1708	myrtillus	146172704
1709	trebananib	146172705
1710	patisiran sodium	146172706
1711	dimethylaminodiphenylbutene hydrochloride	146172707
1712	naxitamab	146172708
1713	cytomegalovirus immune globulin intravenous (human)	146172709
1714	codeine 	146172710
1715	avena sativa flowering top	146172711
1716	factor xiii concentrate (human)	146172712
1717	 omega-3 fatty acids	146172713
1718	isatuximab-irfc	146172714
1719	polatuzumab vedotin-piiq	146172715
1720	leptospira interrogans	146172716
1721	epoetin delta	146172717
1722	taraxacum officinale	146172718
1723	tengonermin	146172719
1724	strychnos nux-vomica seed	146172720
1725	filgrastim-sndz	146172721
1726	pdr-001	146172722
1727	aluminum hydroxide - magnesium carbonate, co-dried gel	146172723
1728	pneumococcal 7-valent conjugate vaccine (diphtheria crm197 protein)	146172724
1729	capsicum	146172725
1730	arnica montana flower	146172726
1731	ustilago nuda hordei	146172727
1732	acer negundo pollen	146172728
1733	asparagus	146172729
1734	influenza a virus a/california/7/2009 x-179a (h1n1) neuraminidase antigen (formaldehyde inactivated)	146172730
1735	glycine max whole	146172731
1736	cucumber	146172732
1737	pinus taeda pollen	146172733
1738	echinacea angustifolia	146172734
1739	allergenic extract- peanut arachis hypogaea	146172735
1740	neisseria meningitidis group b strain nz98/254 outer membrane vesicle	146172736
1741	methylphenidate acid	146172737
1742	sodium chloride/sodium hydroxide/succinylated gelatin	146172738
1743	hepatitis b virus hbsag surface protein antigen	146172739
1744	senna concentrate	146172740
1745	pegvisomant	146172741
1746	pegfilgrastim-jmdb	146172742
1747	glucagon hydrochloride	146172743
1748	clikstar	146172744
1749	ruscus aculeatus root	146172745
1750	cordyceps sinensis extract	146172746
1751	magnolia officinalis bark	146172747
1752	utomilumab	146172748
1753	indatuximab ravtansine	146172749
1754	measles-mumps-rubella-varicella virus vaccine, live	146172750
1755	black cohosh	146172751
1756	english lavender oil	146172752
1757	rice	146172753
1758	trichophyton menta	146172754
1759	methylcellulose (4000 mpa.s)	146172755
1760	polistes exclamans venom protein	146172756
1761	sodium starch glycolate type a potato	146172757
1762	gonadotropin, serum	146172758
1763	fatty acids	146172759
1764	allergenic extract- grass	146172760
1765	plectranthus barbatus root	146172761
1766	bevacizumab	146172762
1767	passiflora edulis flower	146172763
1768	pepinemab	146172764
1769	proteus morganii	146172765
1770	diphtheria and tetanus toxoids and pertussis vaccine	146172766
1771	gelsemium sempervirens root	146172767
1772	melissa oil	146172768
1773	noni fruit juice	146172769
1774	elezanumab	146172770
1775	pegademase bovine	146172771
1776	sunflower oil	146172772
1777	eucalyptus globulus pollen	146172773
1778	tbo-filgrastim	146172774
1779	allergenic extracts	146172775
1780	albumin human	146172776
1781	atractylodes lancea root	146172777
1782	egg white	146172778
1783	hypromellose 2208 (15000 mpa.s)	146172779
1784	benralizumab	146172780
1785	opilio crab	146172781
1786	collagen complex, marine	146172782
1787	emollients	146172783
1788	imiglucerase	146172784
1789	hawthorn leaf with flower	146172785
1790	cynodon dactylon pollen	146172786
1791	arnica montana	146172787
1792	sasanlimab	146172788
1793	influenza a virus a/christchurch/16/2010 nib-74 (h1n1) antigen (propiolactone inactivated)	146172789
1794	glucose, liquid	146172790
1795	peppermint extract	146172791
1796	cyclodextrins	146172792
1797	vespula germanica venom protein	146172793
1798	cladosporium sphaerosperm	146172794
1799	diphtheria and tetanus toxoids and poliovirus vaccine antigens	146172795
1800	pertussis vaccine	146172796
1801	ro-7198457	146172797
1802	iscalimab	146172798
1803	monosialotetrahexosylganglioside	146172799
1804	immune globulin, anti-human	146172800
1805	epoprostenol	146172801
1806	evening primrose oil	146172802
1807	japanese encephalitis virus strain nakayama-nih antigen (formaldehyde inactivated)	146172803
1808	 lactobacillus acidophilus	146172804
1809	interleukin-12 human recombinant	146172805
1810	aconite tincture	146172806
1811	hemicellulase	146172807
1812	sodium zirconium cyclosilicate	146172808
1813	tanacetum parthenium whole	146172809
1814	zuclopenthixol hydrochloride	146172810
1815	almond oil	146172811
1816	cumin	146172812
1817	chlorine dioxide	146172813
1818	diphtheria and tetanus toxoids and acellular pertussis adsorbed, inactivated poliovirus and haemophilus b conjugate (tetanus toxoid conjugate) vaccine	146172814
1819	whole blood	146172815
1820	medium-chain triglycerides	146172816
1821	sulfogaiacol	146172817
1822	lanadelumab	146172818
1823	felis catus skin	146172819
1824	ruta graveolens flowering top	146172820
1825	cellulose, oxidized	146172821
1826	bitter orange extract	146172822
1827	acer rubrum pollen	146172823
1828	chlordiazepam	146172824
1829	iodine povacrylex	146172825
1830	penicillin g 2-amino-4-methylpyrimidine	146172826
1831	paspalum notatum pollen	146172827
1832	asparaginase	146172828
1833	flax seed	146172829
1834	peg-8 caprylic/capric glycerides	146172830
1835	crotalus horridus horridus venom	146172831
1836	human coagulation factor viii/von willebrand factor complex	146172832
1837	vedolizumab	146172833
1838	drosera rotundifolia	146172834
1839	onartuzumab	146172835
1840	influenza virus vaccine quadrivalent type a+b	146172836
1841	trout, unspecified	146172837
1842	asparaginase erwinia chrysanthemi	146172838
1843	bordetella pertussis toxoid antigen (glutaraldehyde inactivated)	146172839
1844	fenugreek seed	146172840
1845	interferon gamma-1b	146172841
1846	anthoxanthum odoratum pollen	146172842
1847	carya laciniosa pollen	146172843
1848	capsella bursa-pastoris	146172844
1849	syagrus romanzoffiana pollen	146172845
1850	interleukin-7 human recombinant	146172846
1851	petroleum distillates	146172847
1852	sus scrofa ovary	146172848
1853	sintilimab	146172849
1854	ginkgo biloba leaf extract	146172850
1855	nesvacumab	146172851
1856	dermatophagoides pteronyssinus	146172852
1857	vespula flavopilosa venom protein	146172853
1858	helianthemum nummularium flower	146172854
1859	safflower oil	146172855
1860	hyaluronidase-oysk	146172856
1861	conium maculatum root extract	146172857
1862	almond	146172858
1863	crypthecodinium cohnii dha oil	146172859
1864	diphtheria and tetanus toxoids and acellular pertussis and hepatitis b and inactivated poliovirus vaccine combined	146172860
1865	desmetramadol	146172861
1866	mineral oil emulsion	146172862
1867	gadoterate meglumine	146172863
1868	mercurialis perennis	146172864
1869	vitis vinifera flowering top	146172865
1870	human colostrum	146172866
1871	pegteograstim	146172867
1872	influenza a virus a/victoria/361/2011 ivr-165 (h3n2) antigen (propiolactone inactivated)	146172868
1873	morus rubra pollen	146172869
1874	eupatorium perfoliatum flowering top	146172870
1875	panax ginseng root extract	146172871
1876	influenza a virus a/brisbane/10/2010 (h1n1) antigen (mdck cell derived, propiolactone inactivated)	146172872
1877	triticum aestivum pollen	146172873
1878	fibrin sealant	146172874
1879	demcizumab	146172875
1880	saw palmetto	146172876
1881	meningococcal polysaccharide vaccine a	146172877
1882	blatella germanica	146172878
1883	atriplex canescens pollen	146172879
1884	polyoxyl 35 castor oil	146172880
1885	crataegus douglasii fruit	146172881
1886	prunus cerasifera flower	146172882
1887	human papillomavirus type	146172883
1888	pramlintide acetate	146172884
1889	senna pods	146172885
1890	cairina moschata heart/liver autolysate	146172886
1891	opium tincture	146172887
1892	polidocano	146172888
1893	bacillus calmette-guerin substrain tice live antigen	146172889
1894	wheat germ oil	146172890
1895	thrombin alfa	146172891
1896	quercus garryana pollen	146172892
1897	sargramostim	146172893
1898	cold cream	146172894
1899	neisseria meningitidis group b nada protein antigen	146172895
1900	cinrebafusp alfa	146172896
1901	coagulation factor viia recombinant human	146172897
1902	glofitamab	146172898
1903	sodium acetate 	146172899
1904	betaine citrate	146172900
1905	carthamus tinctorius flower bud	146172901
1906	loteprednol	146172902
1907	dexamethasone	146172903
1908	epicoccum nigrum	146172904
1909	interferon alfacon-1	146172905
1910	sarilumab	146172906
1911	coal tar	146172907
1912	antithrombin alfa	146172908
1913	lytta vesicatoria	146172909
1914	hepatitis a virus strain hm175 antigen (formaldehyde inactivated)	146172910
1915	azadirachta indica seed oil	146172911
1916	human varicella-zoster immune globulin	146172912
1917	lactobacillus rhamnosus	146172913
1918	digitalis	146172914
1919	neisseria meningitidis serogroup b fhbp fusion protein antig	146172915
1920	sutimlimab	146172916
1921	acer saccharinum pollen	146172917
1922	salmonella typhi ty21a live antigen	146172918
1923	galcanezumab-gnlm	146172919
1924	certolizumab	146172920
1925	polihexanide hydrochloride	146172921
1926	diphtheria and tetanus toxoids	146172922
1927	frangula purshiana bark	146172923
1928	insulin beef/pork	146172924
1929	calendula officinalis flowering top	146172925
1930	evolocumab	146172926
1931	magnesium sulfate, unspecified form	146172927
1932	evinacumab	146172928
1933	lecithin	146172929
1934	neurotropin	146172930
1935	pulsatilla vulgaris	146172931
1936	collodion	146172932
1937	moxetumomab pasudotox	146172933
1938	neisseria meningitidis group c capsular oligosaccharide diphtheria crm197 protein conjugate antigen	146172934
1939	enfortumab vedotin-ejfv	146172935
1940	rosehip	146172936
1941	bacillus cereus	146172937
1942	amino acids, source unspecified	146172938
1943	jojoba oil	146172939
1944	albinterferon alfa-2b	146172940
1945	alglucerase	146172941
1946	aspergillus fumigatus	146172942
1947	gonadorelin	146172943
1948	 aspergillus niger var. niger	146172944
1949	iodine i-131	146172945
1950	octinox	146172946
1951	arabica coffee bean	146172947
1952	euphrasia stricta	146172948
1953	rilotumumab	146172949
1954	dulaglutide	146172950
1955	fusarium oxysporum vasinfectum	146172951
1956	peginterferon alfa-2a	146172952
1957	oregano	146172953
1958	d+c yellow no. 10	146172954
1959	rasdegafusp alfa	146172955
1960	sisymbrium officinale whole	146172956
1961	tabalumab	146172957
1962	solanezumab	146172958
1963	darbepoetin alfa	146172959
1964	certoparin sodium	146172960
1965	avena sativa pollen	146172961
1966	recombinant vesicular stomatitis virus pseudotyped with ebola zaire glycoprotein	146172962
1967	asfotase alfa	146172963
1968	coagulation factor vii human	146172964
1969	eucalyptus globulus leaf	146172965
1970	moringa oleifera leaf	146172966
1971	ascorbic acid/ chromium/ selenium/vanadyl sulfate	146172967
1972	canola oil	146172968
1973	yttrium y-90 clivatuzumab tetraxetan	146172969
1974	streptokinase	146172970
1975	human cytomegalovirus immune globulin	146172971
1976	morella cerifera pollen	146172972
1977	frangula alnus bark	146172973
1978	atezolizumab	146172974
1979	strychnos ignatii seed	146172975
1980	cyclobarbital aminophenazone	146172976
1981	aconitum napellus root	146172977
1982	collagen	146172978
1983	bordetella pertussis filamentous hemagglutinin antigen (formaldehyde inactivated)	146172979
1984	coral snake (micrurus fulvius) immune globulin antivenin (equine)	146172980
1985	gibberella fujikuroi	146172981
1986	pelareorep	146172982
1987	megestrol	146172983
1988	mogamulizumab	146172984
1989	populus nigra pollen	146172985
1990	benzalkonium	146172986
1991	pegloticase	146172987
1992	bfcr-4350a	146172988
1993	betula populifolia pollen	146172989
1994	 sulfamethoxazole	146172990
1995	hamamelis virginiana bark	146172991
1996	broccoli	146172992
1997	ibalizumab-uiyk	146172993
1998	neisseria meningitidis group a capsular polysaccharide diphtheria toxoid conjugate antigen	146172994
1999	grapefruit juice	146172995
2000	cocillana	146172996
2001	haemophilus influenzae type b strain 20752 capsular polysaccharide tetanus toxoid conjugate antigen	146172997
2002	aureobasidium pullulans var. pullutans	146172998
2003	house dust	146172999
2004	melilotus officinalis top	146173000
2005	burosumab	146173001
2006	chondroitin sulfate sodium nos	146173002
2007	tears naturale ii	146173003
2008	haemophilus b polysaccharide vaccine	146173004
2009	certolizumab pegol	146173005
2010	insulin pork	146173006
2011	neisseria meningitidis group b fhbp fusion protein antigen	146173007
2012	north american coral snake antivenin (micrurus fulvius) (equine)	146173008
2013	aspergillus niger v	146173009
2014	prolactin	146173010
2015	lebrikizumab	146173011
2016	candida albicans	146173012
2017	caplacizumab-yhdp	146173013
2018	candida tropicalis	146173014
2019	lambrolizumab	146173015
2020	sodium bicar	146173016
2021	aluminum zirconium octachlorohydrex gly	146173017
2022	urtica dioica pollen	146173018
2023	sennosides a and b calcium	146173019
2024	von willebrand factor human	146173020
2025	calcitonin porcine	146173021
2026	cabiralizumab	146173022
2027	human rotavirus a type g2p7(5) strain sc2 live antigen	146173023
2028	ubiquinol	146173024
2029	hypromellose 2910 (4000 mpa.s)	146173025
2030	acrylylfentanyl	146173026
2031	methylcelluloses	146173027
2032	codonopsis pilosula root	146173028
2033	coagulation factor viia human	146173029
2034	bee pollen	146173030
2035	bifidobacterium animalis subsp. lactis	146173031
2036	allergenic extract- epicoccum nigrum	146173032
2037	vaccinia immune globulin human	146173033
2038	cedar leaf oil	146173034
2039	unspecified ingredient	146173035
2040	cow milk	146173036
2041	matricaria chamomilla whole	146173037
2042	tocopherol	146173038
2043	influenza a virus a/singapore/gp1908/2015 ivr-180 (h1n1) antigen (uv, formaldehyde inactivated)	146173039
2044	sunflower seed	146173040
2045	phenylephrine and	146173041
2046	lonicera caprifolium flower	146173042
2047	ascophyllum nodosum	146173043
2048	erythroxylum coca leaf	146173044
2049	varicella-zoster vaccine	146173045
2050	heparin sodium, bovine	146173046
2051	cashew	146173047
2052	bromus secalinus pollen	146173048
2053	petrolatum	146173049
2054	vespula vulgaris venom protein	146173050
2055	pegfilgrastim-cbqv	146173051
2056	basic fibroblast growth factor	146173052
2057	cisplatin	146173053
2058	smilax china root	146173054
2059	mahonia aquifolium root bark	146173055
2060	celtis occidentalis pollen	146173056
2061	gevokizumab	146173057
2062	grape	146173058
2063	chondrus crispus	146173059
2064	ritodrine	146173060
2065	soap	146173061
2066	filgrastim	146173062
2067	protein s human	146173063
2068	penicillium chrysogenum var	146173064
2069	penicillium expansum	146173065
2070	coagulation factor ix human	146173066
2071	allergenic extract- candida	146173067
2072	rinfabate	146173068
2073	chamomile flower oil	146173069
2074	sod cl	146173070
2075	menotropins	146173071
2076	pit viper (crotalinae) immune globulin antivenin (equine)	146173072
2077	losartan potassium	146173073
2078	carpinus caroliniana pollen	146173074
2079	sedum roseum root	146173075
2080	alternaria alternata	146173076
2081	adenosine cyclic phosphate meglumine	146173077
2082	thrombomodulin alfa	146173078
2083	white wax	146173079
2084	cottonseed oil	146173080
2085	bimekizumab	146173081
2086	diphtheria and tetanus toxoids and acellular pertussis vaccine adsorbed pf	146173082
2087	serum, horse	146173083
2088	asian ginseng	146173084
2089	eptaplatin	146173085
2090	penicillium roqueforti	146173086
2091	phleum pratense pollen	146173087
2092	 nevirapine 	146173088
2093	blueberry	146173089
2094	mammal liver	146173090
2095	fraxinus velutina pollen	146173091
2096	dinutuximab beta	146173092
2097	elaeagnus angustifolia pollen	146173093
2098	alclometasone	146173094
2099	canis lupus familiaris skin	146173095
2100	becaplermin	146173096
2101	peumus boldus	146173097
2102	hydrophilic ointment	146173098
2103	pantoprazole sodium anhydrous	146173099
2104	algeldrate	146173100
2105	lentil	146173101
2106	oenothera biennis (evening primrose) seed extract	146173102
2107	veratrum album root	146173103
2108	pegzerepoetin alfa	146173104
2109	farletuzumab	146173105
2110	human red blood cell	146173106
2111	mag carbonate	146173107
2112	bacillus anthracis strain v770-np1-r antigen	146173108
2113	rehmannia glutinosa root	146173109
2114	mus musculus skin	146173110
2115	patiromer	146173111
2116	populus alba pollen	146173112
2117	seribantumab	146173113
2118	ieramilimab	146173114
2119	carbohydrates	146173115
2120	bos taurus adrenal cortex corticosteroids	146173116
2121	bifidobacterium bifidum	146173117
2122	tocilizumab	146173118
2123	papaya	146173119
2124	crataegus fruit	146173120
2125	polyphenols, tea	146173121
2126	platelet derived growth factor-bb	146173122
2127	pygeum	146173123
2128	balsam peru	146173124
2129	streptococcus faecalis	146173125
2130	telbermin	146173126
2131	vantictumab	146173127
2132	celery seed	146173128
2133	carbomer homopolymer type c (allyl pentaerythritol crosslinked)	146173129
2134	panax ginseng whole	146173130
2135	plantago afra seed	146173131
2136	sus scrofa stomach	146173132
2137	von willebrand factor (recombinant)	146173133
2138	follicle stimulating hormone beta polypeptide	146173134
2139	neisseria meningitidis group a capsular oligosaccharide diphtheria crm197 protein conjugate antigen	146173135
